title , platform , release_date , developer , genres , reviewer , metascore , review
Super Runabout: San Francisco Edition,Dreamcast,Oct-28-2000,Climax Entertainment,Driving | Mission-based,Dreamcast.net,62,This title has so many graphical bugs and glitches that I wonder how it even managed to make it here from Japan in the first place.
Walt Disney World Quest: Magical Racing Tour,Dreamcast,Jul-19-2000,Crystal Dynamics,Driving | Racing | Kart,IGN,63,Ripped directly from the soundtracks in Disney Studios the score is clear authentic and most definitely happening.
Afro Samurai,PlayStation 3,Jan-27-2009,Namco Bandai Games America | Namco Bandai Games,Action | Beat-'Em-Up | Beat-'Em-Up | 2D,Play UK,61,It’s a great-looking game thick with atmosphere and brilliant music. Sadly someone forgot to show as much care to the gameplay so only fans of the comics and TV series are likely to finish the adventure with much satisfaction.
Brothers in Arms: D-Day,PSP,Dec-5-2006,Ubisoft Shanghai,Action | Shooter | Shooter | First-Person | Historic | Historic | Arcade,Official Playstation 2 Magazine UK,60,A solid attempt to bring the gritty realism of war to handheld but shooter-nuts are better off sticking with Medal of Honor Heroes. [Jan 2007 p.88]
Lovely Planet,Xbox One,Jan-8-2016,QUICKTEQUILA,Action | Shooter | First-Person | Arcade,Official Xbox Magazine UK,60,A tough cookie. As a twitch game it suffers from poor feedback and imprecision but its snappy pace keeps you hooked. [March 2016 p.86]
Mini Ninjas Adventures,Xbox 360,Jun-29-2012,Side Kick LTD,Action | General | General,Multiplayer.it,65,Pretty tower defense like game with Kinect sensor. Hiro is back and your arm is now the katana. Just beware the considerable physical effort!
Powerstar Golf,Xbox One,Nov-22-2013,Zoe Mode,Arcade | Sports | Traditional | Individual | Golf | Arcade,COGconnected,69,Powerstar Golf has a strange addictiveness to it.
WRC 2: FIA World Rally Championship 2011,Xbox 360,Oct-14-2011,MileStone Inc.,Driving | Racing | Rally / Offroad,games(TM),60,The one area it does get right is the driving. [Issue#115 p.99]
Dead Space 2: Severed,PlayStation 3,Mar-1-2011,Visceral Games,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,Playstation Official Magazine UK,60,Visceral chose to stay so close to whats gone before. [May 2011 p.112]
Ferrari Challenge Trofeo Pirelli,Wii,Aug-26-2008,Eutechnyx,Driving | Racing | Simulation | Other | Other | GT / Street | Automobile,Eurogamer,50,If you can get used to the nunchuk and remote as a surrogate wheel then the experience is passable but nothing more.
Just Cause 4,PlayStation 4,Dec-4-2018,Avalanche Studios,Action Adventure | Open-World,Gamer.no,60,Just Cause 4 is a big dumb and lovely action game that offers hours of great entertainment for those willing to look past its blemishes and technical faults.
Tekken Hybrid,PlayStation 3,Nov-22-2011,Namco Bandai Games,Action | Fighting | Fighting | 3D | 3D,Gamereactor Denmark,60,A mediocre movie a re-release of and old classic and a demo of an upcoming game. Thats what Tekken Hybrid contains and whether you should get it depends entirely on how much you miss playing Tekken Tag Tournament. If you dont theres little reason to pick this up unless you really really love everything related to the Tekken games and universe.
Brave: The Video Game,Xbox 360,Jun-19-2012,Disney Interactive Studios,Action Adventure | Fantasy | General | Fantasy | Linear,COGconnected,65,Brave possesses a unique charm and should be considered if you are on the lookout for a well made kid-friendly title to add to your collection.
Untold Legends: The Warrior's Code,PSP,Mar-28-2006,Sony Online Entertainment,Role-Playing | Action RPG | Action RPG,G4 TV,60,The biggest sticking point is that Untold Legends has been told before several different times in several different guises. While improved from its predecessor Warrior’s Code is not quite up to the level of a Diablo Baldur’s Gate: Dark Alliance or similar hack-and-slash titles.
Skully,Switch,Aug-4-2020,Finish Line Games,Action | Platformer | 3D,Cultured Vultures,60,While the voice acting storytelling and platforming in Skully is top class the visual issues might cause you to lose your head.
Resident Evil: Revelations 2,PlayStation Vita,Aug-18-2015,Frima Studio,Horror | Action Adventure | Survival,PlayStation Universe,65,Resident Evil: Revelations 2 on PS Vita is a flawed port that only comes recommended if it’s your sole option of playing the game.
Farming Simulator 2013,PC,Oct-25-2012,Giants Software,Miscellaneous | General | Simulation | General | General | Virtual | Career,LEVEL (Czech Republic),60,You can find a lot of educational value in this simulation but as entertainment it just doesn’t work – its more edutainment than a game. [Jan 2013]
Warhammer: Mark of Chaos - Battle March,PC,Sep-2-2008,Black Hole Games,Strategy | Real-Time | Fantasy | General | Fantasy,IGN AU,63,Ultimately Battle March has added a new single player campaign a little meat to the multiplayer and two new factions to take control of.
Crayola Treasure Adventures,DS,Oct-1-2007,Crave,Miscellaneous | Puzzle | Puzzle | General | General,Nintendo Gamer,60,Only inflict on youngsters when youre absolutely desperate. [May 2008 p.75]
Delta Force: Xtreme,PC,Apr-22-2005,NovaLogic,Action | Shooter | Shooter | First-Person | Tactical | Modern | Modern,G4 TV,60,A budget title and it plays like one. Every feature this game has to offer has been better implemented elsewhere.
Battleship,Xbox One,Aug-2-2016,Frima Studio,Miscellaneous | Board / Card Game,Areajugones,65,Battleship is a game with fancy graphics and some innovative ideas but it doesn’t stand out in any aspect. A game for fans only.
Depth,PC,Nov-3-2014,Digital Confectioners,Shooter | Modern | Modern | Action | Shooter | First-Person | Arcade,Multiplayer.it,58,Depth is a Left 4 Dead clone sunk by its sea of flaws.
Titan Quest,Switch,Jul-31-2018,THQ Nordic,Role-Playing | Action RPG,GamePro Germany,61,Quotation forthcoming.
James Bond 007: Blood Stone,PlayStation 3,Nov-2-2010,Bizarre Creations,Action | Driving | Shooter | Mission-based | Shooter | Third-Person | Modern | Modern | Arcade,Gamer.nl,60,Blood Stone feels like a Bond-movie directed by Michael Bay. The game opens impressively with variety in surroundings and the perfect Bond-vibe. But after an hour the lack of deep gameplay becomes grating and the shooting parts dont offer anything you havent seen anywhere else before. Furthermore the racelevels are downright disappointing and the only gadget in your possession is useless.
ZEN Pinball 2: Marvel's Avengers: Age of Ultron,PlayStation 4,Apr-22-2015,Zen Studios,Action | Pinball,GameCritics,50,Fans of the blockbuster might enjoy the set dressing applied to this pinball table but those looking for a solid pinball board underneath the veneer might be left wanting.
Mystery Case Files: The Malgrave Incident,Wii,Jun-29-2011,Sanzaru Games,Miscellaneous | Puzzle | Hidden Object | Puzzle | General,Nintendo Gamer,64,Not too taxing but well made. [Aug 2011 p.73]
Zombie Panic in Wonderland,Wii,May-3-2010,Akaoni Studio,Action | Shooter | Shooter | Third-Person | Fantasy | Fantasy | Arcade,Eurogamer,60,Zombie Panics gleeful initial charm and quirky visual appeal wane once the frenzied bullet-spraying repetition kicks in after a couple of stages. Its evidently one of those games best sampled in small doses.
Daemonica,PC,Mar-31-2006,Cinemax | RA Images,Adventure | 3D | Fantasy | Third-Person | Fantasy,Gamer 2.0,70,We like Daemonica for its refreshing variations on tired themes and a sincere attempt to introduce a nifty potion-mixing element into its chilling story.
Fallout 3: Mothership Zeta,Xbox 360,Aug-3-2009,Bethesda Softworks,Role-Playing | First-Person | First-Person | Western-Style,VideoGamer,60,Mothership Zeta is a let down. Its nowhere near as good as Point Lookout or The Pitt. Its slightly better than Operation Anchorage but only slightly. Its a linear repetitive slog through an alien space ship and nothing else. Is it a fitting finale? No. Is it worth 800MS Points? Just. If only for the Samurai Armour. Sniff.
Urban Trial Tricky,Switch,Jun-25-2020,Tate Multimedia,Sports | Individual | Biking,Starbit,60,Urban Trial Tricky is simple...simple and fun and its good at what it does. While the game doesnt harbour AAA ambitions this is without a doubt a very fun way to pass some time and to enjoy the kicks and adrenaline rushes given by performing stunts on a bike. The experience would be better if the levels felt a little less claustrophobic but as a quick fun experience Urban Trial Tricky is a welcome addition to the Nintendo Switch catalogue.
Dead or School,Switch,Mar-13-2020,Studio Nanafushi,Action Adventure | General,God is a Geek,65,If you enjoy gameplay focused experiences and can tolerate some jank Dead or School will be worth getting when it drops in price.
Conarium,PlayStation 4,Feb-12-2019,Zoetrope Interactive,Adventure | 3D | First-Person,TheSixthAxis,60,Conarium is a good example of a Lovecraftian game. It focuses on the atmosphere and lore that characterises the genre whilst mostly avoiding the worst excesses. It tells an intriguing story well despite the slightly dodgy voice acting and presents a good approximation of the impossible non-Euclidean geometry of the Elder God’s world. If you like a touch of Cthulhu in your life then you could do worse than venturing into Conarium’s brand of madness.
Blazing Angels: Squadrons of WWII,PC,Mar-28-2006,Ubisoft Romania,Simulation | Flight | WWII | WWII | Combat,Total Video Games,60,Fun to play in the short term especially over the course of a mission or two theres a repetitiveness to the gameplay that fails to entice players to experience the campaign for hours on end.
Serious Sam: Next Encounter,PlayStation 2,Apr-22-2004,Climax Group,Action | Shooter | First-Person | Sci-Fi,Play.tm,60,It is cheap and cheerful but it ultimately fails to do itself justice on the PS2.
Naval Ops: Commander,PlayStation 2,Mar-9-2004,Micro Cabin,Simulation | Ship,GamerFeed,60,Had the graphics been retouched a bit the pace been picked up the sound been reworked and multiplayer been considered this couldve been the luxury yacht of war games.
Conflict: Desert Storm II - Back to Baghdad,PC,Oct-7-2003,Pivotal Games,Action | Shooter | Shooter | Third-Person | Tactical | Modern | Modern,GameSpot,63,At least the PC version is easier to play thanks to the wider array of control options offered by the keyboard and mouse.
Disciples II: Servants of the Dark,PC,Jun-30-2003,Strategy First,Strategy | Turn-Based | Fantasy | General | Fantasy,Deeko,65,The single player mode is lacking in many ways and feels disjointed as if the missions should have just been in the original game.
Worms Blast,GameCube,Oct-24-2002,Team17,Miscellaneous | Puzzle | General,IGN,58,You can get involved in some pretty intense matches but the gameplay does not lend itself to be longlasting like some of the other addicting puzzlers out there.
Mega Man X6,PlayStation,Dec-4-2001,Capcom,Action | Platformer | 2D,GameShark,61,If youre a Mega Man fan then youve already purchased the game and have been playing to your hearts content. You can move on to other parts of the web-site.
ESPN NFL PrimeTime 2002,PlayStation 2,Dec-2-2001,Konami,Sports | Traditional | Football | Sim,IGN,58,There are honestly a lot of things to like about this football game...[but] it just doesnt play enough like real football.
Tetris Worlds,Game Boy Advance,Sep-5-2001,3d6 Games,Miscellaneous | Puzzle | Stacking,Nintendo Power,60,New variations make Tetris Worls a world of fun. [Nov 2001 p.148]
Razor Freestyle Scooter,PlayStation,Dec-11-2000,Shaba Games,Action | General,Gaming Age,67,RFSs gameplay is completely off the wall fun and despite its quirky premise kept me coming back for more time and time again.
Gunman Chronicles,PC,Nov-19-2000,Rewolf Software,Action | General | General,ActionTrip,69,If we take it for what it really is - a mod then one could label Rewolfs baby as a nice mod success story with mediocre retail reach and appeal.
Eat Them!,PlayStation 3,Dec-21-2010,FluffyLogic,Action | General | General,Everyeye.it,60,Eat Them! shows how Rampage worked only in the context of the penny arcade and in his time. The title of FluffyLogic fun and entertaining but the fun turns out to be ephemeral and not permanent.
Trillion: God of Destruction,PlayStation Vita,Mar-29-2016,Compile Heart,Role-Playing | General | Japanese-Style,Vandal,65,Trillion: God of Destruction is an experimental RPG so it gets a few things right but misses a few others. Still if you connect to the characters its a good adventure that feels original within the genre.
Izuna 2: The Unemployed Ninja Returns,DS,Jul-22-2008,Ninja Studio,Role-Playing | Console-style RPG | Console-style RPG | Roguelike,IGN,60,The gameplay visuals and style of the game have remained nearly identical to the previous package so while we like what we’ve played once again it’s undoubtedly more of the same.
007: Quantum of Solace,DS,Nov-4-2008,Vicarious Visions,Action | Action Adventure | General | Modern | Shooter | First-Person | Modern | Arcade,Pocket Gamer UK,60,Some nice ideas and a relatively fresh approach to the Bond franchise but there are just too many rough edges to the core action to recommend a purchase.
Fossil League: Dino Tournament Championship,DS,Jan-22-2007,MTO,Role-Playing | Console-style RPG | Console-style RPG,Official Nintendo Magazine UK,62,Fossil League is essentially a Pokemon clone thats pretty decent on the surface but lacks the depth features and polish of the original monster-battlers. [May 2007 p.85]
Eternal Poison,PlayStation 2,Nov-11-2008,Flight-Plan,Strategy | General,GamePro,70,The gothic-anime art direction and voice acting are impressively well-done and although the painfully long load times hinder the general flow of the game-play the overall game-play soundtrack voice acting and art direction makes up for the technical deficiencies.
Axis & Allies,PC,Nov-2-2004,TimeGate Studios,Strategy | Real-Time | Military | General | Military,GameSpot,60,The single-player portions of the game are ridiculously easy even on the hard settings. Only a few campaign missions are remotely challenging and even these cases are due to poor AI with Allied forces.
Journey of a Roach,PC,Nov-4-2013,Koboldgames,Miscellaneous | Puzzle | General | Puzzle | General,Gameblog.fr,60,Quotation forthcoming.
MotoGP 08,PlayStation 3,Oct-28-2008,Milestone S.r.l,Driving | Racing | Simulation | Motorcycle | Automobile | Street | Street,Gameplanet,65,An inauspicious beginning for Capcoms new motorbike series that has little to offer even committed fans.
Dig Dug: Digging Strike,DS,Oct-18-2005,Bullets,Action | Platformer | General | Platformer | 2D | 2D,Game Chronicles,61,There just isn’t all that much substance and certainly no flash with Namco’s latest retro invasion on the DS.
Sniper Ghost Warrior Contracts,PlayStation 4,Nov-22-2019,CI Games,Action | Shooter | First-Person | Tactical,XGN,65,While its shooter mechanics and open mission structure make the game fun to play. There are also plenty of technical flaws or poor design choices that ruin that same fun experience. Glitchy maps weird AI movements and a poor story make this shooting adventure feel mediocre instead of great.
Battle Princess Madelyn,Switch,Dec-20-2018,Causal Bit Games,Action | Platformer | 2D,FNintendo,60,Battle Princess Madelyn is not without its problems. While its arcade mode is easily the most enjoyable it also ends up defeating the purpose of including a metroidvania component in the game. With a high difficulty level and some memorable cut scenes it also has some gameplay issues that require solving and which stand on the way of making this a more recommended title.
Poi: Explorer Edition,Switch,Oct-23-2017,PolyKid,Action | Platformer | 3D,COGconnected,65,I was looking forward to reviewing Poi: Explorer Edition as a game that channels the old-school 3D adventure game I loved so much as a child sounded like a great thing. However this game is less a channeling and more a full emulation of one of those older games. It’s good for some fun though that fun won’t last long. It’s not completely broken but the minor issues can add up in a hurry. There’s some enjoyment to get out of Poi: Explorer Edition but it’s more of a nostalgic trip to a more innocent time than anything noteworthy in the present.
Sword Art Online Re: Hollow Fragment,PlayStation 4,Jul-28-2015,Namco Bandai Games | Bandai Namco Games | Aquria,Role-Playing | General | Action RPG,ZTGD,65,I was glad to see that SAO:HF was able to put forth a more earnest effort with its improved translation and gameplay tweaks but when it’s all said and done it’s still not a particularly good game.
Fairy Fencer F,PlayStation 3,Sep-16-2014,Compile Heart,Role-Playing | General | Japanese-Style,IGN Italia,61,Made with impeccable richness and dolled up with cut-scenes and distracted fine ladies the new Compile Heart JRPG is not fully convincing presenting a solid gameplay without a challenge equally worthy. And in the absence of this balance Fairy Fencer F loses a lot of biting especially in the second half of the adventure.
A Virus Named TOM,PC,Aug-1-2012,Misfits Attic,Miscellaneous | Puzzle | Action | Puzzle | Action,Gamer.nl,65,A Virus Named Tom is a nice puzzle game as a snack. Its structure is simple and it never gets very complicated. Still theres enough challenge in this relatively short game and the multiplayer lifts it to greater heights. Unfortunately the versus and coop modes are only playable locally and for a PC-game thats a giant waste.
Shotest Shogi,Xbox 360,Sep-10-2008,AI Factory | Rubicon Development Ltd.,Miscellaneous | Board Games | Board Games | Board / Card Game,Xbox World 360 Magazine UK,60,Itll be big in Japan; over here not so much. [Christmas 2008 p.94]
007: Quantum of Solace,PlayStation 3,Nov-4-2008,Treyarch,Action | General | Shooter | Shooter | First-Person | Modern | Modern | Arcade,GamingExcellence,64,For Bond fans the complicated controls lack of an original story and mediocre graphics may cool the ardor for owning any and all Bond-related products.
Barnyard,Wii,Dec-4-2006,Blue Tongue Entertainment,Action | Adventure | General | General,GameDaily,60,Regardless of its shortcomings Barnyards mini-games and activities on the farm make it worth at least a rental. Just accept the fact that bovines ride bikes and mix drinks.
Pac-Man World 3,Xbox,Nov-17-2005,Blitz Games,Action | Platformer | 3D,Game Informer,63,The dialogue is actually charming and sometimes clever but the loose controls found in the main game also plauge the arcade port to a degree which to me is the biggest bummer of this outing. [Jan 2006 p.138]
Dynasty Warriors 9,PlayStation 4,Feb-13-2018,Omega Force,Action | Action Adventure | Beat-'Em-Up | Open-World | 3D,Playstation Official Magazine UK,60,This is a big game. Sadly its not all of the highest quality. Sometimes less is more. [March 2018 p.94]
Super Motherload,PlayStation 4,Nov-15-2013,XGenStudios,General | Puzzle | Miscellaneous | Puzzle | Action,GamesRadar+,60,Super Motherloads premise of digging for richs on a lonely planet sounds about as boring as actually digging for richs on a lonely planet. But stick with it long enough and youll find an eerily soothing adventure with addictive strategy elements that make for a wholly enjoyable next-gen gaming experience.
SingStar Dance,PlayStation 3,Nov-1-2010,SCEE London Studio,Action | Miscellaneous | Rhythm | Music Maker | Music Maker | Dancing,Playstation: The Official Magazine (US),60,Were convinced that theres nothing brilliant about the SingStar series. And yet Dance is a good time. [Jan 2011 p.84]
War the Game,PC,Jan-12-2015,GabberGames,Strategy | Real-Time | Military,SpazioGames,70,Going beyond the minimalist technical sector this is an absolute deep wargame despite the extremely simple gameplay. Its all about the ideas that underlie it that as in the best milestones pass over all the rest to give a deep and original product like few others.
MachiaVillain,PC,May-16-2018,Wild Factor,Action | General,COGconnected,66,Ultimately MachiaVillain needs a lot of cleaning up explanations and balance fixes. Then maybe we can all come together to have a bloody good time.
Resident Evil: The Mercenaries 3D,3DS,Jun-28-2011,Capcom,Action | Action Adventure | Horror | Horror | Shooter | Survival | Third-Person | Tactical,Digital Spy,60,While Resident Evils gameplay is a little on the clunky side today its still wholly enjoyable and packed with thrills and its just a shame that its short-lived and awkward to get to grips with.
Cate West: The Vanishing Files,Wii,Mar-23-2009,Destineer,Adventure | General | General | Point-and-Click,GameSpot,60,If youre itching to play a hidden-object game The Vanishing Files will be like rubbing up against a tree: its not pretty but it gets the job done.
Birthdays the Beginning,PlayStation 4,May-9-2017,Arc System Works,Strategy | Management | Business / Tycoon | Action Adventure | Sandbox,Eurogamer Italy,60,We cannot say that Birthdays is one of the best God-game available. The ground modeling represents basically the whole gameplay. For the rest of the time you will stand still waiting for the life to blossom.
Gladiator: Sword of Vengeance,Xbox,Nov-5-2003,Acclaim Studios Manchester,Action | Beat-'Em-Up,Armchair Empire,67,Gladiator was on its way to becoming the sleeper hit of 2003… then the gameplay threw it into the bargain bin.
EyePet & Friends,PlayStation 3,Nov-15-2011,SCEE London Studio,Simulation | Miscellaneous | Virtual Life | Virtual | Virtual Life,Playstation: The Official Magazine (US),60,We occasionally encountered some control issues. [Jan 2012 p.81]
Prince of Persia: The Forgotten Sands,PSP,May-17-2010,Ubisoft Quebec,Action Adventure | Fantasy | General | Fantasy,GameSpot,65,The well-designed levels in The Forgotten Sands do a good job of sucking you into this 2D world but minor control issues and lame combat distract from the fun.
The Escapists: The Walking Dead,Xbox One,Sep-30-2015,Team17,Action | General,Brash Games,70,A great title that remains true to the source material and one that fans of both the Escapists and the Walking Dead will love. Whether the daily grind of washing dirty clothes and working out in the gym will be for everyone else is another question but this unusual and unique take on one of TV’s bests is at the very least a fun and challenging RPG.
Exit 2,Xbox 360,Feb-25-2009,Taito Corporation,Miscellaneous | Puzzle | Action | Puzzle | Action,IGN,65,Exit 2 doesnt feel like a sequel as much as more levels with a few added twists. All of the issues from the original are back: The controls are awkward. The pacing is horrid. The AI needs work. But hey at least a good number of the puzzles are interesting and there are a lot of them.
M.A.C.H. Modified Air Combat Heroes,PSP,Feb-20-2007,VU Games,Action | Racing | General | General | Arcade | Other,Playstation Official Magazine UK,60,Theres just no lasting appeal. [Apr 2007 p.97]
