title , platform , release_date , developer , genres , reviewer , metascore , review
Blaster Master Zero II,Switch,Mar-20-2019,Inti Creates,Action | Shooter | Shoot-'Em-Up | Top-Down,Gaming Age,100,It’s a “blast” to play for those who want a great action game whether or not you’re a fan of retro games. But by now with so many retro inspired games on the eShop both this and the first Blaster Master stand at the top of the offerings as true must-haves.
Lara Croft and the Guardian of Light,Xbox 360,Aug-18-2010,Crystal Dynamics,Action | Action Adventure | Adventure | Shooter | General | General | Third-Person | Modern,Telegraph,100,You will rarely find a game that offers such phenomenal value for money even at full price I would wholeheartedly recommend it. It's an exciting reinvention for a heroine whose light has unfortunately faded in recent years; an exciting parade of action puzzling and exploration elegantly crafted with fresh direction all while retaining that familiar Tomb Raider ethos.
BlazBlue: Chrono Phantasma Extend,PC,Mar-2-2016,Arc System Works,Action | Fighting | 2D,Riot Pixels,95,The gods of fighting games love those who are strong and stylish and that’s what CPEX is all about.
SWAT 4,PC,Apr-5-2005,Irrational Games,Action | Shooter | Shooter | First-Person | Modern | Arcade,Computer Gaming World,100,Simply put SWAT 4 is just about the best tactical shooter available. Its outstandingly realistic and gripping play delivers everything a tac-sim fan craves. Now if you'll excuse me there are more perps in need of cuffing.
Midnight Club II,PlayStation 2,Apr-9-2003,Rockstar San Diego,Driving | Racing | GT / Street,PSX Nation,100,Polished online interface + incredible sense of speed (i.e. bikes out of hell!) + perfect arcade handling (wheelies anyone?) + plethora of modes to tinker with + no "GT3: A-Spec"-type customization or realistic physics = the best PS2 arcade racing ever made.
Aggressive Inline,Xbox,Jul-29-2002,Z-Axis | Ltd.,Sports | Alternative | Skating,GameZone,95,Exactly what extreme inline skate fans have been looking for and the game will not disappoint in any way. Terrific graphics massive environments and an exclusive extra level make this a Must-Have.
Clive Barker's Undying,PC,Feb-21-2001,Dreamworks Games,Action | Shooter | Shooter | First-Person | Fantasy | Fantasy | Arcade,GamePro,100,With a creepy excellent story and perfectly paced complex action Undying oozes freaky atmosphere.
Rollcage Stage II,PlayStation,Oct-10-2000,Attention To Detail,Driving | Racing | Futuristic,Daily Radar,100,Two parts "Wipeout" and one part "Mario Kart" combined with a feel all its own make the newest Rollcage a winner across the board.
EverQuest,PC,Mar-16-1999,Sony Online Entertainment,Role-Playing | Massively Multiplayer Online | Massively Multiplayer | Fantasy | Fantasy,Yahoo!,100,Ridiculously addictive. A hallmark of a good game is that it makes what would be mundane interesting. In EQ you can happily play for hours just trying to gain enough experience to get to the next level.
F-Zero X,Nintendo 64,Sep-30-1998,Nintendo,Driving | Racing | Futuristic,Gaming Age,96,The framerate and action more than makes up for the slightly less than average graphics. This is a title that no self-respecting N64 owner should pass up. Nintendo has created the first true N64 classic since Mario 64.
Final Fantasy XII: The Zodiac Age,Switch,Apr-30-2019,Square Enix,Role-Playing | Japanese-Style,NintendoWorldReport,100,The Spring of 2019 has been a wonderful stroll down memory lane of Square Enix glory and Final Fantasy XII is the high note it ends on. Featuring every quality-of-life improvement to date and the ability to play in handheld or on a television at a moment’s notice it’s an easy decision to call the Switch version the definitive experience. Final Fantasy XII may end up being the best of the franchise on Switch but with so many titles still available hopefully it won’t be the last.
Trials Evolution: Origin of Pain,Xbox 360,Oct-5-2012,RedLynx,Street | Driving | Racing | Simulation | Motorcycle | Automobile | Street,Gamestyle,100,It is DLC that adds more to an already amazing package and the fact RedLynx continue to add more themselves as well as more to allow users to build the ever increasing library is simply refreshing to see. At just 400 Microsoft Points this is one of the best value DLC bundles you can get. If you own Trials Evolution you must get this now. If you don't own Trials Evolution buy that and get this now.
Tom Clancy's Splinter Cell Double Agent,Xbox 360,Oct-17-2006,Ubisoft Shanghai,Action Adventure | Modern | General | Modern,The Sydney Morning Herald,100,Magnificent on the Xbox 360 this could be a contender for game of the year.
Pillars of Eternity: Complete Edition,PlayStation 4,Aug-29-2017,Obsidian Entertainment | Paradox Arctic,Role-Playing | Western-Style,The Digital Fix,90,Not for everyone but if you can see past its issues herein lies a phenomenal old school RPG.
Bravely Default,3DS,Feb-7-2014,Silicon Studio,Console-style RPG | Role-Playing | Console-style RPG | Japanese-Style,Quarter to Three,100,It sounds like a lot and it is but not in an overwhelming way but in a fantastic three in the morning I can’t stop playing this game kind of way. When it all comes together and you destroy a boss that gave you troubles just a few job levels ago it feels great.
Guacamelee! 2,Xbox One,Jan-18-2019,DrinkBox Studios,Action | Platformer | 2D,Multiplayer.it,90,Guacamelee! 2 on Xbox One is the same fun and well designed game that we already know.
DOOM,PlayStation 4,May-13-2016,id Software,Sci-Fi | Third-Person | Action | Shooter | First-Person | Arcade,Telegraph,100,There were no doubts that Doom would play fast look stunning or be gory; the surprise is that Doom is as relevant smart and self-aware as it is; merging old ideas with new ones; injecting its near-flawless shooter mechanics into a campaign that’s impeccably refined hilariously dumb and fiendishly moreish.
Slay the Spire,Switch,Jun-6-2019,Mega Crit Games,Strategy | Turn-Based | Card Battle,Nintendo Life,90,Slay the Spire is an endlessly addictive roguelike card-battler that’s a perfect fit for the Switch; a beautifully balanced game that’s arrived on Nintendo’s system with all the benefits of an extended period of Early Access on PC. Its combination of ferocious battles entertaining chance encounters and selection of three impressively different player characters make every run to the top a nerve-wracking and totally absorbing affair.
Far Cry Instincts,Xbox,Sep-27-2005,Ubisoft Montreal,Action | Shooter | First-Person | Modern,GamingTrend,97,With incredible graphics stellar gameplay and an engaging story Far Cry: Instincts stands proud as a testament to how good a game can be.
Warhammer 40000: Dawn of War II,PC,Feb-18-2009,Relic,Strategy | Real-Time | Sci-Fi | Sci-Fi | General,GamePro,100,Some gamers will no doubt hate the new direction they've taken but the game is much improved and definitely deserves its fair share of love. While it still early I wouldn't hesitate to nominate it for PC Game of the Year honors come December.
Bug Fables: The Everlasting Sapling,Switch,May-28-2020,Moonsprout Games,Action Adventure | General | Role-Playing | Action RPG,Pure Nintendo,100,So maybe Nintendo will never make a truly great Paper Mario ever again. Lucky for us Moonsprout Games may have cracked the chemistry of what many fans actually want from the series in Bug Fables. If you’re still mad about Sticker Star or you’re still reeling about Color Splash do yourself a favor and nab this masterpiece as soon as possible and see what all the buzz is about. Rest assured that even if Origami King turns out to be a dud 2020 will see at least one great game with Paper Mario mechanics…even if it doesn’t bear its name.
Call of Duty: Black Ops 4,Xbox One,Oct-12-2018,Treyarch,Action | Shooter | First-Person | Tactical,Cheat Code Central,100,Call of Duty: Black Ops 4 is a game that looks at the entire first-person shooter genre past and present takes all the best ideas and assembles them into what feels like the easiest to recommend shooter I have ever played. The only caveat to that recommendation is that some gamers will find themselves absolutely ignoring two thirds of what the game has to offer and that makes me wonder if a different model of monetization would have been better suited for what feels like a collection of three different games.
Paradigm,PC,Apr-5-2017,Jacob Janerka,Adventure | Point-and-Click,Adventure Gamers,100,Paradigm is a uniquely creative blend of art music and consistently humorous gameplay. It’s an absurdist adventure like no other and one that’s earned its place among the classics.
NBA 2K14,PlayStation 4,Nov-12-2013,Visual Concepts,Sports | Traditional | Team | Basketball | Sim | Sim,LaPS4,91,Quotation forthcoming.
Battlefield 3,PlayStation 3,Oct-25-2011,EA DICE,Action | Shooter | Shooter | First-Person | Modern | Tactical | Modern | Arcade,Game Informer,93,Battlefield fans hoping for the most polished entry in the series won't be disappointed by this massive sequel.
Tekken Tag Tournament,PlayStation 2,Oct-25-2000,Namco,Action | Fighting | 3D,Daily Radar,100,If you like Tekken then you have to have this the most biggest best bag of Tekken so far. A droolworthy launch title.
Onimusha 3: Demon Siege,PlayStation 2,Apr-27-2004,Capcom,Action Adventure | Fantasy,Adrenaline Vault,100,The graphics are fantastic the score is excellent and the gameplay offers a great variety of fast-paced combat and brain-teasing puzzles.
Red Faction: Guerrilla,PlayStation 3,Jun-2-2009,Volition Inc.,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,ZTGD,100,An in your face balls to the wall destroy everything in your path treat. With a ton of missions to complete an entire planet to destroy and online modes that will have you sitting in front of your television for hours upon hours this game has it all. I know this has been said a ton of times before but it holds true for this game; if Red Faction: Guerrilla doesn't get your blood pumping check your pulse.
Final Fantasy X-2,PlayStation 2,Nov-18-2003,SquareSoft,Role-Playing | Console-style RPG,Cheat Code Central,100,It's a quality production from start to finish always letting fans in on the joke and treats the FF universe with great respect and more importantly a sense of fun that is always present on both sides of the screen simultaneously. Your Diva's await...
Night in the Woods,Switch,Feb-1-2018,Infinite Fall,Action Adventure | Adventure | General,Switch Player,90,Night in the Woods is a special game and a must-have for the Switch in 2018. With some of the most well executed naturalistic dialogue I've ever seen in a game it's an experience that is different but up there alongside some of the greats on the platform so far.
Battlerite,PC,Nov-8-2017,Stunlock Studios,Strategy | Real-Time | MOBA,FANDOM,100,It’s amazing...In a sea of LOL imitators its refreshing to see so many smart design ideas on display here. Thanks to the game’s gleeful disregard of genre conventions Battlerite feels like something that few free to play games manage — refreshing and dynamic.
Command & Conquer 3: Tiberium Wars,PC,Mar-26-2007,EA LA,Strategy | Real-Time | Sci-Fi | Sci-Fi | General,Cheat Code Central,100,The big difference is the technical move forward. Action is fluid special effects are pretty and the cutscenes are funny and entertaining. Even the in-game physics like building explosions and collapses are comparable to first person shooters.
Madden NFL 10,Xbox 360,Aug-14-2009,EA Tiburon,Sports | Traditional | Team | Football | Sim | Sim,ZTGD,94,A fantastic addition to the series and quite possibly the best football game ever created.
Batman: Arkham Knight,Xbox One,Jun-23-2015,Rocksteady Studios,General | Fantasy | Action Adventure | Open-World,Game Over Online,95,Batman: Arkham Knight closes out Rocksteady’s trilogy in a big way. It’s the most epic entry in the series to date in terms of sheer scope for the world and the story it’s telling.
Assassin's Creed III,Wii U,Nov-18-2012,Ubisoft Quebec,Action Adventure | Historic | Historic | Open-World,Hardcore Gamer,100,The Wii U version of the title is practically the same as the other console versions but unlike Wii U ports that originally came out months ago it's possible that prospective buyers have still not purchased it. If that's the case the Wii U version is as fine option as any but those who have the game have absolutely no reason to buy it again. Still forgetting its a port Assassin's Creed III is the best game in the Wii U launch line-up and should be a must-buy for those yet to experience its incredible adventure.
Astro Boy: Omega Factor,Game Boy Advance,Aug-18-2004,Hitmaker,Action | Shooter | Scrolling,Nintendojo,98,The difficulty goes up gradually and never catches you by surprise; you won't find any huge leaps in difficulty here. The graphics are fantastic and the color use is great.
BlazBlue: Continuum Shift,Xbox 360,Jul-27-2010,Arc System Works,Action | Fighting | Fighting | 2D | 2D,1UP,100,Continuum Shift provides a seamless fighting game experience by offering excellent Tutorial and Training Modes to help you learn your character before testing their skills in the game's near-flawless online mode.
Life is Strange,PlayStation 4,Oct-20-2015,DONTNOD Entertainment,Sci-Fi | Action Adventure | General,EGM,95,From its opening moment until its final scene plays Life is Strange is a wonderful beautiful captivating touching adventure built upon the undying friendship of two girls trying to find their place in the world.
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC,Feb-26-2013,Gaijin Games,Action | Miscellaneous | Rhythm | Music | Music,Machinima,95,There are very few games I’d recommend to anyone regardless of gaming experience or preference but Runner 2 is one of them. It’s a fantastic reminder that sometimes games are most effective when they don’t try to emulate explosion-riddled Hollywood blockbusters and instead embrace solid gameplay mechanics and unfettered creativity.
Hotline Miami,PC,Oct-23-2012,Dennaton,Action | Action Adventure | General | General | Linear,Games.cz,100,Hotline Miami is proof that it is possible to create a fresh and addictive action game even with the game's emphasis on retro. At the same time it evokes truly human feelings the modern-day shooters die trying to deliver.
Guitar Hero World Tour,Xbox 360,Oct-26-2008,Neversoft Entertainment,Action | Miscellaneous | Rhythm | Music | Music,BigPond GameArena,100,Pure unadulterated joy.
Final Fantasy XV: Windows Edition,PC,Mar-6-2018,Square Enix,Role-Playing | Action RPG,CGMagazine,100,The definitive edition of Final Fantasy XV.
Nioh: Bloodshed's End,PlayStation 4,Sep-26-2017,Team Ninja,Role-Playing | Action RPG,Destructoid,90,Say what you will about some of these ancillary modes not being included in Nioh as a baseline but I've gotten more out of the game than almost anything released this year.
Out of the Park Baseball 13,PC,Apr-9-2012,Out Of The Park Developments,Sports | Traditional | Team | Baseball | Sim | Sim,Quarter to Three,100,For gamers out there like myself who cut their teeth on R.B.I. Baseball rather than Strat-O-Matic I highly recommend this as a supplemental experience to today's console baseball titles. It may just supplant them in your imagination as it's a platform to weave believable baseball tales of any stripe at whatever speed or level of control you desire.
NHL 2004,GameCube,Sep-22-2003,EA Sports,Sports | Traditional | Ice Hockey | Sim,Play Magazine,100,Not to be outdone EA Sports has upped the ante with NHL 2004 and it truly has left me speechless. What am I so excited about? One word - Dynasty Mode... For hockey fans this is a no brainer. [Sept 2003 p.88]
World Series Baseball,Xbox,May-19-2002,Blueshift,Sports | Traditional | Baseball | Sim,GamePro,100,The gameplay is on-the-money with great baseball that ought to attract Xbox sports gamers and just plain baseball fans alike.
Wizardry 8,PC,Nov-14-2001,Sir-Tech Software Inc.,Role-Playing | First-Person | First-Person | General | Western-Style,Quandary,100,If you are a fan of classic roleplaying games then Wizardry 8 is a must. If you haven't played one then try it out. It's just too good to miss.
Aliens Versus Predator 2,PC,Oct-31-2001,Monolith Productions,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,Games Radar,100,[Games Radar Rating = Direct Hit] AvP2 isn't a revolutionary game but a collection of previously-seen elements all put together seamlessly and balanced so well that it emerges as a rather beautiful Frankenstein's Monster.
Operation Flashpoint: Cold War Crisis,PC,Aug-30-2001,Bohemia Interactive,Action | Shooter | Shooter | First-Person | Tactical | Modern | Modern,Game Informer,95,It's so exacting in detail the Marines are showing interest in using it as part of their training programs. [Nov 2001 p.126]
Rumble Racing,PlayStation 2,Apr-23-2001,Electronic Arts,Driving | Racing | Arcade,GamePro,100,Excellent A.I sharp graphics and addictive gameplay combine for an unabashed good time. Sim freaks need not apply—Rumble Racing is pure unapologetic arcade goodness.
Metal Slug X,PlayStation,Apr-14-2001,ProSoft,Action | Shooter | Scrolling,Core Magazine,91,While essentially just a more difficult remix of "Metal Slug 2" Metal Slug X is still one of the finest 2D shoot-em-ups since the original "Contra."
Tropico,PC,Apr-5-2001,PopTop Software,Strategy | Miscellaneous | Real-Time | Management | Compilation | Modern | Modern | Government,Hot Games,100,It may be a bit heavy on the micro-management but if you’re at all interested in the God game genre you’ll be hooked on this game for a long time.
Giants: Citizen Kabuto,PC,Dec-6-2000,Planet Moon Studios,Action | Shooter | Shooter | Third-Person | Sci-Fi | Sci-Fi | Arcade,GamePro,100,It sucks you into its weird world and doesn't let you go.
MotoGP 3: Ultimate Racing Technology,Xbox,Aug-30-2005,Climax Group,Driving | Racing | Motorcycle | Street,Gaming Age,100,It really is hard to imagine how games this good keep getting better and better but they apparently are finding ways.
Rocket League,PlayStation 4,Jul-7-2015,Psyonix | Panic Button,Racing | Futuristic | Sports | Team | Soccer | Arcade,Sporting News,100,It's a blast to play and it only gets better as skills improve over time and as the competition ramps up. It's a game that everyone whether they’re big into sports video games or just can’t seem to get into them will really enjoy.
Dead or Alive 4,Xbox 360,Dec-29-2005,Team Ninja,Action | Fighting | Fighting | 3D | 3D,GamePro,100,If looks could kill DOA4 would be called Murderer's Row. This game is beautiful; even while you're beating the tar out of your opponent you'll notice that your surroundings are among the finest you've seen in any fighting game... Hands down the best installment in the series. [Jan 2006 p.38]
NASCAR SimRacing,PC,Feb-15-2005,EA Tiburon,Driving | Racing | Simulation | Stock Car | Stock Car | Automobile,Gaming Age,100,Game play is a godsend for fans of the Cup as NASCAR Sim Racing is exactly what it states…it is sim racing. While some newbies to the sport or gamers who prefer arcade style action may be turned off by the relentless realism I say it is better to sacrifice the weaker links in favor of the hardcore fans that make this sport what it is today.
Devotion,PC,Feb-19-2019,Red Candle Games,Action Adventure | Survival,IGN Japan,98,After delivering the cult-hit Detention Taiwanese developer Red Candle Games presents its next psychological horror adventure Devotion. While making the jump from 2D to 3D the superb presentation and storytelling remain intact. A 1980s Taiwanese condo is faithfully recreated in 3D to the extent that you can almost detect the odour. And while bringing together various art styles in one game Devotion manages to tell a consistent story as well.
Pure,Xbox 360,Sep-23-2008,Black Rock Studio,Driving | Racing | Arcade | Arcade | Automobile,Gaming Age,100,I absolutely loved Pure and while I've played a fair share of decent off road racers in the past couple years nothing compares to Pure in my opinion.
Crysis 2,PlayStation 3,Mar-22-2011,Crytek,Action | Shooter | Shooter | First-Person | Sci-Fi | Sci-Fi | Arcade,D+PAD Magazine,100,This is not COD with an afterthought of a campaign nor is it Far Cry 2 with its open expanses and sand-box gameplay. It's not a corridor shooter like Doom and it isn't Battlefield or Killzone 3. This is Crysis 2 – a magnificent first-person experience in its own right that stands out from the crowd by focusing on a campaign that is wholly engaging at times highly challenging and often truly memorable.
The Lord of the Rings Online: Mines of Moria,PC,Nov-17-2008,Turbine Inc.,Role-Playing | Massively Multiplayer Online | Massively Multiplayer | Fantasy | Fantasy,GamingTrend,95,The Lord of The Rings Online: Mines of Moria is a complete expansion and not just an attempt to cash in on an existing franchise.
SoulCalibur IV,PlayStation 3,Jul-29-2008,Namco | Project Soul,Action | Fighting | Fighting | 3D | 3D,1UP,100,Where SC4 really shines however is in its character-creation mode. The more you use your custom characters the more options you unlock -- with a wealth of weapons and armor pieces offering boosts to strength impact speed and more while certain stat modifiers improve your chances to escape throws or reverse counters.
Kingdom Hearts,PlayStation 2,Sep-16-2002,SquareSoft,Role-Playing | Action RPG,GamePen,100,You’ll be hard pressed to find another game that even comes close to matching the quality found in Kingdom Hearts. Games just don’t come as beautiful and well thought out as this it’s a virtual masterpiece that excels in every way possible.
The Binding of Isaac: Afterbirth,PC,Oct-30-2015,Nicalis,Action | Shooter | Shoot-'Em-Up | Top-Down,COGconnected,95,New items new challenges a new character new room layouts new bosses new transformations new soundtrack new floors and the list goes on. This is the expansion we were hoping for. Nicalis did us a solid and stuffed a disgusting amount of content in a game already bursting with disgusting content. Now if you’ll excuse me I’m going to kill Mother for the thousandth time.
Hotline Miami,PlayStation Vita,Jun-25-2013,Abstraction Games | Dennaton,Action | Action Adventure | General | General | Linear,Gaming Age,100,And that to me is the essence of Hotline Miami: it's a game that does everything so perfectly it even makes me love stuff I would normally hate. Which means that if we're talking about stuff you'd normally love — extreme violence extreme difficulty druggy music — then this right here could end up being your favorite game of all time.
Amnesia: The Dark Descent,PC,Sep-8-2010,Frictional Games,Action Adventure | Horror | Horror | Survival,GameCritics,100,It was without a doubt one of the most difficult draining and stressful gaming experiences I have ever had but it's also an absolute masterpiece.
SoulCalibur IV,Xbox 360,Jul-29-2008,Namco | Project Soul,Action | Fighting | Fighting | 3D | 3D,1UP,100,So with the classic new-school and infinitely customizable character roster at the ready and with online play fully operational it's not a stretch to say this might be 2008's best fighting game.
Project Gotham Racing,Xbox,Nov-14-2001,Bizarre Creations,Driving | Racing | GT / Street,XboxAddict,100,This game is fantastic even if you don't like cars/racing this game will get you sucked in. With a huge track selection and a wide variety of music and amazing gameplay this game is a must have for all types of gamers.
Fable,Xbox,Sep-14-2004,Big Blue Box,Role-Playing | Action RPG,Gamestyle,100,Just remember Fable is not "Project Ego." What it is though is a redefinition for RPG's. It takes out all the frustrating elements of the genre and instead puts in a heap of fun options and possibilities. This is why; despite its disappointing conclusion Fable is one of the most gripping and enjoyable games that has come to grace the console scene.
Forza Horizon,Xbox 360,Oct-23-2012,PLAYGROUND | Playground Games,Driving | Racing | Simulation | GT / Street | GT / Street | Automobile,Eurogamer Sweden,100,It's hard to find negative things to write about Forza Horizon. It certainly is a different experience compared to Forza Motorsport 4 but that doesn't mean it's not as good. The spotless presentation and the enormous amount of things to do makes this one of the finest racing games I've ever played.
Chaos Reborn,PC,Oct-26-2015,Snapshot Games Inc.,Fantasy | Strategy | Turn-Based | General,Quarter to Three,100,If there’s such a thing as “too small to fail” it applies to this wonderful gem.
Assassin's Creed Origins,Xbox One,Oct-27-2017,Ubisoft | Ubisoft Montreal,Action Adventure | Open-World,GameSpew,100,With a stream of post-launch content bolstering what it is already an epic 50-hour-plus adventure Assassin’s Creed Origins is one of the most engrossing and awe-inspiring experiences of the year especially on Xbox One X where the visuals are pushed to the max. You can nit-pick all you like about the odd funny glitch here and there and some duff NPC dialogue but Assassin’s Creed Origins is a near flawless open-world gaming experience.
GTR: FIA GT Racing Game,PC,May-3-2005,SimBin,Driving | Racing | Simulation | GT / Street | Automobile,Computer Games Magazine,100,A brilliant game simulation that belongs on every gamer's shelf. [Sept 2005 p.52]
Monster Train,PC,May-21-2020,Shiny Shoe,Strategy | Turn-Based | Card Battle,GameCritics,100,As far as deckbuilders go Monster Train is fantastic. The general strategy and the quirks of fighting on a multi-leveled train make it stand out as its own sort of unique puzzle that rewards players for cleverness. The runs are fast it’s easy to learn and the challenge modes give it plenty of depth and replay. Get on board before it leaves the station!
Final Fantasy IX,PlayStation 4,Sep-19-2017,SquareSoft | Square Enix,Role-Playing | Japanese-Style,DualShockers,95,Final Fantasy IX on PlayStation 4 has rekindled my imagination that for years I thought I had lost giving me a reason to return to these characters and story that deserve to be experienced by any fan of the genre. Final Fantasy IX on PlayStation 4 is upgraded and re-rendered up to the best possible version for every fan of Final Fantasy new and old.
The Witcher 3: Wild Hunt - Complete Edition,Switch,Oct-15-2019,Saber Interactive | CD Projekt Red Studio,Role-Playing | Action RPG,DarkStation,100,As a landmark title that other games have trouble matching even now The Witcher 3 flourishes on the Nintendo Switch. With an immense amount of absolutely engaging content a meaningful narrative and a meticulously designed world to explore there’s no doubt about the quality of the game.
Shadow Hearts: Covenant,PlayStation 2,Sep-27-2004,Nautilus,Role-Playing | Console-style RPG,PSX Nation,100,A rock-solid Role-Playing Game with a moving story believable characters and loads of great humor that keep it from dragging you down...Hands-down the definitive role-playing experience for the PlayStation 2.
Rogue Legacy,PlayStation Vita,Jul-29-2014,Cellar Door Games,Action | Platformer | Platformer | 2D | 2D,Gaming Age,100,Likewise the graphics are cute and full of fun little flourishes; it may start out looking like your standard retro indie game but when your knight who can't see in 3D turns around to reveal that (s)he is flat or when your knight with blurry vision sees everything in his or her immediate vicinity with a big blur around them it's hard not to be charmed.
Control,PC,Aug-27-2019,Remedy Entertainment,Action Adventure | General,Giant Bomb,100,Control feels like Remedy firing on all cylinders resulting in a smart and sensational action-adventure.
Madden NFL 10,PlayStation 3,Aug-14-2009,EA Tiburon,Sports | Traditional | Team | Football | Sim | Sim,Destructoid,95,The improvements that Madden 10 offers over Madden NFL 09 are vast. In fact aside from a new console generation Madden 10 might provide the most significant year-over-year upgrade in the 21-year history of the series. Even gamers who have been wishing for a sequel to ESPN NFL 2K5 will be impressed and for a football fan buying this year’s Madden is a no-brainer.
Syphon Filter: Logan's Shadow,PSP,Oct-2-2007,Sony Bend,Action | Shooter | Shooter | Third-Person | Modern | Modern | Arcade,Gaming Age,100,Syphon Filter: Logan's Shadow neither looks nor plays like your typical “handheld” game and it seriously pushes the limits of what the PSP and portable games in general can achieve. Hell you’re lucky to find a console game so well put together overall.
Football Manager 2011,PC,Nov-4-2010,Sports Interactive,Sports | Traditional | Team | Soccer | Management | Management,Computer and Video Games,93,Football Manager 2011 is a complete triumph and as satisfying as a last minute winner in the local derby.
Dust: An Elysian Tail,PC,May-24-2013,Humble Hearts,Role-Playing | Action RPG | Action RPG,LEVEL (Czech Republic),100,Dust is energetic like a tornado. It has its artistic touch to it. This gem is like the best of the video games history to shine upon the present days. [Issue#232]
NBA Live 2005,Xbox,Sep-28-2004,EA Canada,Sports | Traditional | Basketball | Sim,Play Magazine,100,For this year's game EA has taken freestyle control to a whole new level. A level so out of control it's going to change the way you play basketball games...forever. [Oct 2004 p.89]
NHL 2004,PlayStation 2,Sep-22-2003,EA Sports,Sports | Traditional | Ice Hockey | Sim,Play Magazine,100,Not to be outdone EA Sports has upped the ante with NHL 2004 and it truly has left me speechless. What am I so excited about? One word - Dynasty Mode... For hockey fans this is a no brainer. [Sept 2003 p.88]
NFL 2K2,PlayStation 2,Nov-19-2001,Visual Concepts,Sports | Traditional | Football | Sim,Cinescape,100,The player models are much more realistic players show emotion and pretty much everything has been given a facelift. The animation framerate textures - it’s all very impressive.
South Park: The Stick of Truth,PC,Mar-4-2014,Obsidian Entertainment,Role-Playing | General | General,Impulsegamer,100,The South Park game we have been waiting for is at last here.
Deep Rock Galactic,PC,May-13-2020,Ghost Ship Games,Action | Shooter | First-Person | Arcade,LEVEL (Czech Republic),100,Finally a non-traditional co-op multiplayer game with very intense atmosphere. Original dark and bearded it is Deep Rock Galactic. No need to dig deeper. [Issue#304]
Monkey Island 2 Special Edition: LeChuck's Revenge,Xbox 360,Jul-7-2010,LucasArts,Adventure | General | General | Point-and-Click,Xbox World 360 Magazine UK,100,One of the best adventures ever for the price of a paperback? [Oct 2010 p.121]
Assassin's Creed III,PlayStation 3,Oct-30-2012,Ubisoft,Action Adventure | Historic | Historic | Open-World,Game Revolution,100,With the game's mix of a hugely interactive open world a compelling setting and a finely tuned combat system I'm eager to return to delve even further into the Animus.
Fire Emblem: The Sacred Stones,Game Boy Advance,May-23-2005,Intelligent Systems,Strategy | Turn-Based | Fantasy,Detroit Free Press,100,An ideal handheld game. It's simple to pick up the quest is long and worthwhile and there's plenty of replay value.
